code	name	comarca_code	comarca_name	amb	vegueria_code	vegueria_name	province_code	province_name	male_population	female_population	total_population
430332	Botarell	8	Baix Camp		AT03	Camp de Tarragona	43	Tarragona	576 	525 	1.101 
250560	Bovera	18	Garrigues		AT05	Ponent	25	Lleida	152 	123 	275 
430347	Bràfim	1	Alt Camp		AT03	Camp de Tarragona	43	Tarragona	334 	331 	665 
170274	Breda	34	Selva		AT02	Comarques Gironines	17	Girona	1.862 	1.866 	3.728 
80253	Bruc, el	6	Anoia		AT08	Penedès	8	Barcelona	1.097 	935 	2.032 
80266	Brull, el	24	Osona		AT06	Comarques Centrals	8	Barcelona	138 	116 	254 
170280	Brunyola	34	Selva		AT02	Comarques Gironines	17	Girona	199 	195 	394 
430350	Cabacés	29	Priorat		AT03	Camp de Tarragona	43	Tarragona	166 	164 	330 
250609	Cabanabona	23	Noguera		AT05	Ponent	25	Lleida	38 	44 	82 
170314	Cabanelles	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	130 	107 	237 
170307	Cabanes	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	499 	432 	931 
