code	name	comarca_code	comarca_name	amb	vegueria_code	vegueria_name	province_code	province_name	male_population	female_population	total_population
82956	Vallirana	11	Baix Llobregat		AT01	Metropolità	8	Barcelona	7.307 	7.326 	14.633 
172095	Vall-llobrega	10	Baix Empordà		AT02	Comarques Gironines	17	Girona	458 	457 	915 
431606	Vallmoll	1	Alt Camp		AT03	Camp de Tarragona	43	Tarragona	836 	815 	1.651 
82969	Vallromanes	41	Vallès Oriental		AT01	Metropolità	8	Barcelona	1.295 	1.248 	2.543 
431613	Valls	1	Alt Camp		AT03	Camp de Tarragona	43	Tarragona	12.127 	12.194 	24.321 
259062	Valls d'Aguilar, les	4	Alt Urgell		AT07	Alt Pirineu i Aran	25	Lleida	164 	138 	302 
252398	Valls de Valira, les	4	Alt Urgell		AT07	Alt Pirineu i Aran	25	Lleida	428 	417 	845 
431628	Vandellòs i l'Hospitalet de l'Infant	8	Baix Camp		AT03	Camp de Tarragona	43	Tarragona	3.019 	3.031 	6.050 
259097	Vansa i Fórnols, la	4	Alt Urgell		AT07	Alt Pirineu i Aran	25	Lleida	111 	99 	210 
82975	Veciana	6	Anoia		AT06	Comarques Centrals	8	Barcelona	97 	78 	175 
431634	Vendrell, el	12	Baix Penedès		AT08	Penedès	43	Tarragona	18.229 	18.329 	36.558 
172109	Ventalló	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	429 	401 	830 
252424	Verdú	38	Urgell		AT05	Ponent	25	Lleida	452 	495 	947 
172116	Verges	10	Baix Empordà		AT02	Comarques Gironines	17	Girona	578 	619 	1.197 
431649	Vespella de Gaià	36	Tarragonès		AT03	Camp de Tarragona	43	Tarragona	232 	193 	425 
82981	Vic	24	Osona		AT06	Comarques Centrals	8	Barcelona	21.146 	21.352 	42.498 
172121	Vidrà	24	Osona		AT06	Comarques Centrals	17	Girona	89 	84 	173 
172137	Vidreres	34	Selva		AT02	Comarques Gironines	17	Girona	4.006 	3.735 	7.741 
252430	Vielha e Mijaran	39	Aran		AT07	Alt Pirineu i Aran	25	Lleida	2.767 	2.683 	5.450 
431652	Vilabella	1	Alt Camp		AT03	Camp de Tarragona	43	Tarragona	421 	382 	803 
172142	Vilabertran	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	460 	442 	902 
172155	Vilablareix	20	Gironès		AT02	Comarques Gironines	17	Girona	1.256 	1.303 	2.559 
82994	Vilada	14	Berguedà		AT06	Comarques Centrals	8	Barcelona	227 	200 	427 
172174	Viladamat	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	229 	212 	441 
172168	Viladasens	20	Gironès		AT02	Comarques Gironines	17	Girona	114 	107 	221 
83015	Viladecans	11	Baix Llobregat	AM01	AT01	Metropolità	8	Barcelona	32.541 	33.008 	65.549 
83008	Viladecavalls	40	Vallès Occidental		AT01	Metropolità	8	Barcelona	3.685 	3.680 	7.365 
172180	Vilademuls	28	Pla de l'Estany		AT02	Comarques Gironines	17	Girona	436 	398 	834 
172207	Viladrau	24	Osona		AT06	Comarques Centrals	17	Girona	527 	508 	1.035 
172214	Vilafant	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	2.720 	2.823 	5.543 
83054	Vilafranca del Penedès	3	Alt Penedès		AT08	Penedès	8	Barcelona	19.282 	19.942 	39.224 
252445	Vilagrassa	38	Urgell		AT05	Ponent	25	Lleida	270 	252 	522 
172235	Vilajuïga	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	577 	592 	1.169 
431750	Vilalba dels Arcs	37	Terra Alta		AT04	Terres de l'Ebre	43	Tarragona	341 	328 	669 
83067	Vilalba Sasserra	41	Vallès Oriental		AT01	Metropolità	8	Barcelona	352 	357 	709 
252458	Vilaller	5	Alta Ribagorça		AT07	Alt Pirineu i Aran	25	Lleida	303 	263 	566 
172240	Vilallonga de Ter	31	Ripollès		AT02	Comarques Gironines	17	Girona	205 	193 	398 
431665	Vilallonga del Camp	36	Tarragonès		AT03	Camp de Tarragona	43	Tarragona	1.138 	1.090 	2.228 
172253	Vilamacolum	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	150 	144 	294 
172266	Vilamalla	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	581 	552 	1.133 
172272	Vilamaniscle	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	97 	82 	179 
252477	Vilamòs	39	Aran		AT07	Alt Pirineu i Aran	25	Lleida	92 	72 	164 
172288	Vilanant	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	198 	201 	399 
252483	Vilanova de Bellpuig	27	Pla d'Urgell		AT05	Ponent	25	Lleida	288 	250 	538 
252542	Vilanova de la Barca	33	Segrià		AT05	Ponent	25	Lleida	604 	571 	1.175 
252496	Vilanova de l'Aguda	23	Noguera		AT05	Ponent	25	Lleida	108 	110 	218 
252509	Vilanova de Meià	23	Noguera		AT05	Ponent	25	Lleida	546 	553 	1.099 
431687	Vilanova de Prades	16	Conca de Barberà		AT03	Camp de Tarragona	43	Tarragona	233 	191 	424 
83036	Vilanova de Sau	24	Osona		AT06	Comarques Centrals	8	Barcelona	61 	60 	121 
252516	Vilanova de Segrià	33	Segrià		AT05	Ponent	25	Lleida	157 	155 	312 
83020	Vilanova del Camí	6	Anoia		AT08	Penedès	8	Barcelona	497 	443 	940 
89024	Vilanova del Vallès	41	Vallès Oriental		AT01	Metropolità	8	Barcelona	6.250 	6.202 	12.452 
431671	Vilanova d'Escornalbou	8	Baix Camp		AT03	Camp de Tarragona	43	Tarragona	2.661 	2.580 	5.241 
83073	Vilanova i la Geltrú	17	Garraf		AT08	Penedès	8	Barcelona	31.821 	33.863 	65.684 
431690	Vilaplana	8	Baix Camp		AT03	Camp de Tarragona	43	Tarragona	316 	308 	624 
431704	Vila-rodona	1	Alt Camp		AT03	Camp de Tarragona	43	Tarragona	647 	629 	1.276 
172305	Vila-sacra	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	319 	351 	670 
252521	Vila-sana	27	Pla d'Urgell		AT05	Ponent	25	Lleida	359 	359 	718 
431711	Vila-seca	36	Tarragonès		AT03	Camp de Tarragona	43	Tarragona	11.314 	11.018 	22.332 
82140	Vilassar de Dalt	21	Maresme		AT01	Metropolità	8	Barcelona	4.406 	4.558 	8.964 
82191	Vilassar de Mar	21	Maresme		AT01	Metropolità	8	Barcelona	9.860 	10.587 	20.447 
172229	Vilaür	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	80 	79 	159 
431726	Vilaverd	16	Conca de Barberà		AT03	Camp de Tarragona	43	Tarragona	246 	223 	469 
431732	Vilella Alta, la	29	Priorat		AT03	Camp de Tarragona	43	Tarragona	70 	65 	135 
431747	Vilella Baixa, la	29	Priorat		AT03	Camp de Tarragona	43	Tarragona	109 	88 	197 
83041	Vilobí del Penedès	3	Alt Penedès		AT08	Penedès	8	Barcelona	1.647 	1.519 	3.166 
172333	Vilobí d'Onyar	34	Selva		AT02	Comarques Gironines	17	Girona	564 	521 	1.085 
172327	Vilopriu	10	Baix Empordà		AT02	Comarques Gironines	17	Girona	107 	92 	199 
252537	Vilosell, el	18	Garrigues		AT05	Ponent	25	Lleida	91 	96 	187 
431763	Vimbodí i Poblet	16	Conca de Barberà		AT03	Camp de Tarragona	43	Tarragona	542 	424 	966 
252555	Vinaixa	18	Garrigues		AT05	Ponent	25	Lleida	268 	258 	526 
431779	Vinebre	30	Ribera d'Ebre		AT04	Terres de l'Ebre	43	Tarragona	219 	216 	435 
431785	Vinyols i els Arcs	8	Baix Camp		AT03	Camp de Tarragona	43	Tarragona	993 	938 	1.931 
83089	Viver i Serrateix	14	Berguedà		AT06	Comarques Centrals	8	Barcelona	90 	78 	168 
430521	Xerta	9	Baix Ebre		AT04	Terres de l'Ebre	43	Tarragona	589 	620 	1.209 
